,string,count,group
2632,Western Canada Marine Response Corp.,6,western canada marine response corporation
2633,B.C. Tech Association,6,b.c. tech association
2634,TELESAT Canada,6,telesat
2635,Island Ferry Services Ltd.,6,island ferry services ltd.
2636,Coalition for Conscience and Expression,6,coalition for conscience and expression
2637,Strategic Relationship Solutions Inc.,6,strategic relationship solutions inc.
2638,United Farmers of Alberta,6,united farmers of alberta
2639,Cami International Poultry Inc.,6,cami international poultry inc.
2640,Sunovion Pharmaceuticals Canada Inc.,6,sunovion pharmaceuticals canada inc.
2641,MOLLI Surgical Inc.,6,molli surgical inc.
2642,Urthecast Corporation,6,urthecast
2643,Canadian Society of Landscape Architects,6,canadian society of landscape architects
2644,RCMP Foundation,6,rcmp foundation
2645,L1 Energy,6,l1 energy
2646,Canadian Expat Association,6,canadian expat association
2647,A3 Surfaces,6,a3 surfaces
2648,Upfield Canada Inc.,6,upfield canada inc.
2649,UNITE HERE Canada,6,unite here canada
2650,St. Marys Cement (Canada) DBA Votorantim Cement North America,6,st. marys cement (canada) dba votorantim cement north america
2651,Canadian Foundation for Cross Cultural Dialogue,6,canadian foundation for cross cultural dialogue
2652,South West Economic Alliance,6,south west economic alliance
2653,Ronin8 Technologies Ltd.,6,ronin8 technologies ltd.
2654,Future of Infrastructure Group,6,future of infrastructure group
2655,Project Learning Tree Canada,6,project learning tree canada
2656,Mount Royal University,6,mount royal university
2657,Association for Mineral Exploration - British Columbia,6,association for mineral exploration - british columbia
2658,TransCanada Corporation,6,tc energy
2659,DEW ENGINEERING & DEVELOPMENT LIMITED,6,dew engineering & development limited
2660,Tsawwassen First Nation,6,tsawwassen first nation
2661,SOLUS AUTOMATION,6,solus automation
2662,Amana Canada Holdings,6,amana canada holdings
2663,Essar Steel Algoma Inc.,6,essar steel algoma inc
2664,European Liability Insurance for the Nuclear Industry,6,european liability insurance for the nuclear industry
2665,ASSOCIATION OF LABOUR SPONSORED INVESTMENT FUNDS,6,association of labour sponsored investment funds
2666,The Canadian Geothermal Energy Association (CanGEA),6,the canadian geothermal energy association (cangea)
2667,Clear Sky Connections,6,clear sky connections
2668,MBM Investment Corporation,6,mbm investment corporation
2669,Ekoscience Technology Transformation Inc.,6,ekoscience technology transformation inc.
2670,HTC Purenergy Inc.,6,htc purenergy inc.
2671,Yukon Chamber of Mines,6,yukon chamber of mines
2672,NEBC Resource Municipalities Coalition,6,nebc resource municipalities coalition
2673,Oxfam Canada,6,oxfam
2674,Young People's Theatre,6,young people's theatre
2675,Canadian Academy of Health Sciences,6,canadian academy of health sciences
2676,The Nature Trust of BC,6,the nature trust of bc
2677,SEI Industries Ltd.,6,sei industries ltd.
2678,Porter Airlines,6,porter airlines
2679,Victorian Order of Nurses of Canada (VON Canada),6,victorian order of nurses of canada (von canada)
2680,Lutron Electronics Company Inc.,6,lutron electronics company inc.
2681,TimberWest Forest Corporation,6,timberwest forest corp.
2682,EnerCare Inc.,6,enercare inc.
2683,Yorkville University,6,yorkville university
2684,Building Material Council of Canada,6,building material council of canada
2685,Canadian Young Farmers Forum,6,canadian young farmers forum
2686,Corporation of the County of Renfrew,6,corporation of the county of renfrew
2687,Gender Creative Kids Canada,6,gender creative kids canada
2688,Gitxsan Development Corporation,6,gitxsan development corporation
2689,Brane Inc,6,brane inc
2690,Canadian Bus Association,6,canadian bus association
2691,Merck Frosst Canada Ltd.,6,merck frosst canada inc.
2692,"Facebook, Inc.",6,facebook
2693,Atlantic Cancer Research Institute,6,atlantic cancer research institute
2694,Big Moon Canada Corporation,6,"big moon power, llc."
2695,Skyline International Development Inc.,6,skyline international development inc.
2696,Exceldor cooperative,6,exceldor cooperative
2697,ONTARIO-QUEBEC GRAIN FARMERS’ COALITION,6,ontario-quebec grain farmers' coalition
2698,Dominion Diamond Corporation,6,dominion diamond corporation
2699,Les Grands Ballets Canadiens de Montréal,6,les grands ballets canadiens de montreal
2700,MOLSON CANADA,6,molson canada
2701,St. Boniface General Hospital,6,st. boniface general hospital
2702,Leonardo Defence Systems Division,6,leonardo
2703,Equestrian Canada,6,equestrian canada
2704,The Navy League of Canada,6,the navy league of canada
2705,Best Medicines Coalition,5,best medicines coalition
2706,Sanofi Canada,5,sanofi pasteur
2707,Sapphire Water International Corp.,5,sapphire water international corp.
2708,KWG Resources,5,kwg resources
2709,Carrier Lumber Ltd.,5,carrier lumber ltd.
2710,Newfoundland and Labrador Association of realtors,5,newfoundland and labrador association of realtors
2711,Crohn's and Colitis Canada,5,crohn's and colitis canada
2712,ContainerWorld Forwarding Services inc.,5,containerworld forwarding services inc.
2713,Equitable Bank,5,equitable bank
2714,KTL Transport Inc.,5,ktl transport inc.
2715,Abbott Laboratories,5,abbott laboratories
2716,MTR Corporation Limited,5,mtr corporation limited
2717,THE CALGARY AIRPORT AUTHORITY,5,calgary airport authority
2718,Laborers' International Union of North America Canada,5,laborers' international union of north america canada
2719,Skway First Nation,5,skway first nation
2720,International Livestock Research Institute (ILRI),5,international livestock research institute (ilri)
2721,Canadian Society of Association Executives,5,canadian society of association executives
2722,Biodextris Inc.,5,biodextris inc.
2723,"Dynatrace Corporation of Canada, LTD",5,"dynatrace corporation of canada, ltd"
2724,Canadian Association for Graduate Studies,5,canadian association for graduate studies
2725,Golf Canada,5,golf canada
2726,The Town of Oakville,5,the town of oakville
2727,The Haisla Nation,5,haisla first nation
2728,Ontario Personal Support Worker Association,5,ontario personal support worker association
2729,Pure North S’Energy Foundation,5,pure north s'energy foundation
2730,Sun Gro Horticulture Income Fund,5,sun gro horticulture income fund
2731,Collège Laval,5,college laval
2732,Barclays,5,barclays
2733,Convergence Tech Inc.,5,convergence tech inc.
2734,George Brown College,5,george brown college
2735,Globalive Investment Holdings Corp.,5,globalive investment holdings corp.
2736,Cliffs Natural Resources Inc.,5,cliffs natural resources inc.
2737,Association of Former Workers of the Air Canada Overhaul Centres,5,association of former workers of the air canada overhaul centres
2738,Key Living,5,key living corporation
2739,BG International Limited d/b/a BG Canada,5,bg canada
2740,African Development Bank,5,african development bank
2741,Travel Edge Inc.,5,travel edge inc.
2742,Intermarket Group,5,intermarket group
2743,Dominion Voting Systems,5,dominion voting systems
2744,"General Atomics Aeronautical Systems, Inc.",5,general atomics aeronautical systems
2745,Centre for Civic Engagement,5,centre for civic engagement
2746,Cardiac Arrhythmia Network of Canada,5,cardiac arrhythmia network of canada
2747,Conseil scolaire acadien provincial,5,conseil scolaire acadien provincial
2748,IGPC Ethanol Inc.,5,igpc ethanol inc.
2749,VoiceHealth Inc.,5,voicehealth inc.
2750,L. & G. CLOUTIER INC.,5,l. & g. cloutier inc.
2751,Ultra Safe Nuclear Corporation,5,ultra safe nuclear corporation
2752,Iotron Industries Canada Inc.,5,iotron industries canada inc.
2753,Plasco Energy Group,5,plasco energy group
2754,MD Financial Management Inc.,5,md financial management inc.
2755,City of Lloydminster,5,city of lloydminster
2756,Canadian Association of Forest Owners,5,canadian association of forest owners
2757,rene bernard inc.,5,rene bernard inc.
2758,Leonovus Inc.,5,leonovus inc.
2759,Kongsberg Geospatial,5,kongsberg defence systems
2760,ConocoPhillips Canada Resources Corp,5,conoco phillips canada
2761,Growing Power Hairy Hill Limited Partnership,5,growing power hairy hill limited partnership
2762,Canadian Ferry Association,5,canadian ferry association
2763,Association of Major Power Consumers of Ontario,5,association of major power consumers of ontario
2764,Water First Education and Training Inc.,5,water first education and training inc.
2765,BlackRock Metals Inc.,5,blackrock metals inc.
2766,Amazon.ca,5,amazon
2767,Kenmore Land Co. Ltd.,5,kenmore land co. ltd.
2768,Felix & Paul Studios Inc,5,felix & paul studios
2769,Varian Medical Systems,5,varian medical systems
2770,Purdue Pharma,5,purdue pharma
2771,Custom Aluminum Foundry,5,custom aluminum foundry
2772,Groundfish Enterprise Allocation Council,5,groundfish enterprise allocation council
2773,Peoples Trust,5,peoples trust
2774,Wyloo Metals,5,wyloo metals
2775,THE NATIONAL BENEFIT AUTHORITY CORPORATION,5,the national benefit authority
2776,Canadian Prepaid Providers Organization (CPPO),5,canadian prepaid providers organization (cppo)
2777,Taseko Mines Limited,5,taseko mines
2778,Gold Line Telemanagement Inc.,5,gold line telemanagement inc.
2779,Mondelez Canada Inc.,5,mondelez canada
2780,La Vie Executive Health Centre,5,la vie executive health centre
2781,Syneos Health,5,syneos health
2782,Association of Chartered Certified Accountants (ACCA),5,association of chartered certified accountants (acca)
2783,Canadian Boreal Forest Agreement (CBFA),5,canadian boreal forest agreement (cbfa)
2784,NGRAIN,5,ngrain
2785,Canadian Council on Aboriginal Business,5,canadian council on aboriginal business
2786,Banff World Media Festival,5,banff world media festival
2787,eSight Corporation,5,esight corporation
2788,City of North Vancouver,5,city of north vancouver
2789,Louisbourg Seafoods,5,louisbourg seafood limited
2790,Bayshore HealthCare,5,bayshore healthcare
2791,Greater Toronto Marketing Alliance,5,greater toronto marketing alliance
2792,Canadian Association of Railway Suppliers,5,canadian association of railway suppliers
2793,Racer Machinery International Inc.,5,racer machinery international inc.
2794,Sysco Canada Inc.,5,sysco canada inc.
2795,Enwave Energy Corporation,5,enwave energy corporation
2796,Alstom Transport Canada Inc.,5,alstom transport canada inc.
2797,De Beers Canada Inc.,5,de beers canada
2798,"Silicones Enviromental, Health, and Safety Center",5,"silicones enviromental, health, and safety center"
2799,Genzyme Canada Inc.,5,genzyme canada
2800,Hootsuite Media Inc.,5,hootsuite media inc.
2801,NORTERRA INC,5,norterra inc
2802,Canadian Renderers Association,5,canadian renderers association
2803,Mitton Valve,5,mitton valve
2804,BOMBARDIER INC.,5,bombardier inc.
2805,Aerospace Industries Association of Canada (AIAC),5,aerospace industries association of canada
2806,First Potash Ventures,5,first potash ventures
2807,Georgia-Pacific Gypsum LLC,5,georgia-pacific gypsum llc
2808,RSP Generation Corp.,5,rsp generation corp.
2809,AMEC Inc.,5,amec inc.
2810,Renewable Energy Coalition of Canada,5,renewable energy coalition of canada
2811,Screen Composers Guild of Canada,5,screen composers guild of canada
2812,Maple Leaf Fibre Ltd.,5,maple leaf fibre ltd.
2813,The Professional Association of Foreign Service Officers (PAFSO),5,the professional association of foreign service officers (pafso)
2814,NextSource Materials Inc,5,nextsource materials inc
2815,Oneida Nation of the Thames First Nation,5,oneida nation of the thames first nation
2816,Canadian Council of Christian Charities (CCCC),5,canadian council of christian charities (cccc)
2817,Alliance of Western Canadian Wall and Ceiling Contractors,5,alliance of western canadian wall and ceiling contractors
2818,Siksika Health Services,5,siksika health services
2819,Accelerating Sustainability Events Management Inc.,5,accelerating sustainability events management inc.
2820,IKEA Distribution Services CA Inc.,5,ikea canada
2821,"The Corporation of Delta, BC",5,"the corporation of delta, bc"
2822,Canadian Pharmacist Association,5,canadian pharmacists association
2823,The Standard Life Assurance Company of Canada,5,the standard life assurance company of canada
2824,PIRET (7031 York Road) Holdings Inc.,5,piret holdings
2825,GHG Group,5,ghg group
2826,Norquay Mystic Ridge Ltd.,5,norquay mystic ridge ltd.
2827,Industry City Alberta Corp.,5,industry city alberta corp
2828,Thunder Bay Economic Development Commission,5,thunder bay economic development commission
2829,The D&B Companies of Canada ULC,5,the d&b companies of canada ulc
2830,Certified Management Accountants of Ontario,5,certified management accountants of ontario
2831,Friends of Simon Wiesenthal Center for Holocaust Studies,5,friends of simon wiesenthal center for holocaust studies
2832,Canadian Welding Bureau (CWB Group),5,canadian welding bureau
2833,Academy of Canadian Cinema and Television,5,academy of canadian cinema and television
2834,Association of Canadian Financial Officers,5,association of canadian financial officers
2835,Air Products Canada Limited,5,air products canada limited
2836,Chorus Aviation,5,chorus aviation
2837,CBRE Limited,5,cbre limited
2838,Paula Meier,5,paula meier
2839,Dairy farmers of New Brunswick,5,dairy farmers of new brunswick
2840,Enmax Corporation,5,enmax corporation
2841,One Acre Fund,5,one acre fund
2842,BDO Canada LLP,5,bdo canada
2843,Ontario Dental Association,5,ontario dental association
2844,Bill Sauer,5,bill sauer
2845,VimpelCom,5,vimpelcom
2846,Miller Thomson,5,miller thomson
2847,Coalition for Canadian Astronomy,5,coalition for canadian astronomy
2848,Airbus Defence and Space,5,airbus
2849,"Trans Union of Canada, Inc.",5,"trans union of canada, inc."
2850,Cassels Brock & Blackwell LLP,5,cassels brock & blackwell llp
2851,The Ontario Fruit and Vegetable Growers Association,5,the ontario fruit and vegetable growers association
2852,Trilogy Housing Solutions,5,trilogy housing solutions
2853,Energy Policy Institute of Canada,5,energy policy institute of canada
2854,LOCKHEED MARTIN AERONAUTICS CO.,5,lockheed martin aeronautics co.
2855,Reliq Health,5,reliq health
2856,Cascadia Metals Ltd.,5,cascadia metals ltd.
2857,Commport Communications International Inc.,5,commport communications international inc.
2858,Covenant Energy Ltd.,5,covenant energy ltd.
2859,Blair Franklin Capital Partners,5,blair franklin capital partners
2860,Ascent Industries Corp.,5,ascent industries corp.
2861,Anaphylaxis Canada,5,anaphylaxis canada
2862,Trafigura A.G.,5,trafigura a.g.
2863,Toronto's Ronald McDonald House,5,toronto's ronald mcdonald house
2864,Terry Fox Foundation (TFF),5,terry fox foundation (tff)
2865,Allagma Technologies Inc.,5,allagma technologies inc.
2866,Facebook,5,facebook
2867,PETRONAS Energy Canada Ltd,5,petronas energy canada ltd.
2868,Euro Asia Transload Inc.,5,euro asia transload inc.
2869,Counter Brands dba Beautycounter,5,counter brands dba beautycounter
2870,Labopharm Inc.,5,labopharm inc.
2871,Electro-Federation Canada inc.,5,electro-federation canada inc.
2872,Des Nedhe Development,5,des nedhe development
2873,Marine Harvest Canada,5,marine harvest canada
2874,Centre for Equitable Library Access,5,centre for equitable library access
2875,Tim Hortons Advertising & Promotion Fund (Canada) Inc.,5,tim hortons
2876,Lakeside Steel Corporation,5,lakeside steel corporation
2877,Canadian Association for Community Living,5,canadian association for community living
2878,"Canadian Cosmetic, Toiletry and Fragrance Association (CCTFA)",5,"canadian cosmetic, toiletry and fragrance association (cctfa)"
2879,MARS Holding Pte.Ltd,5,mars holding pte.ltd
2880,Michelle Meiers,5,michelle meiers
2881,Rothsay Biodiesel,5,rothsay biodiesel
2882,Riverbank Power,5,riverbank power
2883,FP Innovations,5,fp innovations
2884,Canadian Live Music Association,5,canadian live music association
2885,"Potash Corporation of Saskatchewan, Inc.",5,potash corporation of saskatchewan inc.
2886,Canadian Isotope Innovations Corp.,5,canadian isotope innovations corp.
2887,FireEye Inc.,5,fire eye inc.
2888,Element Financial Corporation,5,element financial corporation
2889,St. Joseph Communications,5,st. joseph communications
2890,Canadian Business Press,5,canadian business press
2891,PIRET (16131 Blundell Road) Holdings Inc.,5,piret holdings
2892,NAIMA CANADA,5,naima canada
2893,Carrot Insights Inc.,5,carrot insights
2894,Labourers' International Union of North America (LIUNA) Local 837 Training Centre,5,laborers' international union of north america canada
2895,BD Hamilton & Associates,5,bd hamilton & associates
2896,Canadian Health Food Association,5,canadian health food association
2897,CSA Group Testing & Certification Inc.,5,csa group
2898,Federally Regulated Employers - Transportation and Communication (FETCO),5,federally regulated employers - transportation and communication (fetco)
2899,Lyft Inc.,5,lyft inc.
2900,Burnbrae Farms,5,burnbrae farms
2901,City of Elliot Lake,5,city of elliot lake
2902,Oceanic Consulting Corporation,5,oceanic consulting corporation
2903,Oracle Corp.,5,oracle corp.
2904,Residential and Civil Construction Alliance of Ontario,5,residential and civil construction alliance of ontario
2905,Makami College,5,makami college
2906,Atltantic Packaging Products Ltd.,5,atltantic packaging products ltd.
2907,Aéroports de Montréal,5,aeroports de montreal
2908,LNG Producer Consortium,5,lng producer consortium
2909,American Movie Classics Holding Corporation,5,american movie classics holding corporation
2910,Amanda Sussman Consulting,5,amanda sussman consulting
2911,THE CORPORATION OF THE TOWN OF TECUMSEH,5,town of tecumseh
2912,Livingston International,5,livingston international
2913,Nevsun Resources Ltd.,5,nevsun resources ltd.
2914,Trudell Medical Limited,5,trudell medical limited
2915,Vaxil Biotherapeutics,5,vaxil biotherapeutics
2916,PnuVax,5,pnuvax
2917,VOTI,5,voti detection
2918,Mincom Canada Inc,5,mincom
2919,Canadian Art Museum Directors Organization,5,canadian art museum directors organization
2920,Anthony Allard,5,anthony allard
2921,Genworth MI Canada Inc.,5,genworth financial (canada)
2922,Office of Foreign Relations of the Southern Transitional Council in Canada,5,office of foreign relations of the southern transitional council in canada
2923,TimberWest Forest Corporation (through Cassidy Levy Kent),5,timberwest forest corp.
2924,PURE INDUSTRIAL REAL ESTATE,5,pure industrial real estate
2925,Canadian Associaton of Gift Planners,5,canadian associaton of gift planners
2926,IKEA Canada Ltd. Partnership,5,ikea canada
2927,Yukon Energy Corporation,5,yukon energy corporation
2928,Callache Stone Quarries Inc.,5,callache stone quarries inc.
2929,Cancer Coaching,5,cancer coaching
2930,Tradition Fine Foods Ltd.,5,tradition fine foods ltd.
2931,C Tow Marine Assistance Ltd,5,c tow marine assistance ltd
2932,SEIU Healthcare,5,seiu healthcare
2933,V+1 Composites Inc.,5,v+1 composites inc.
2934,Metadata Solutions,5,metadata solutions
2935,First Nations University of Canada,5,first nations university of canada
2936,Joint Electrical Promotion Plan,5,joint electrical promotion plan
2937,Ziad Hindawi,5,ziad hindawi
2938,"QVC Global Holdings I, Inc.",5,"qvc global holdings i, inc."
2939,Metro Vancouver,5,metro vancouver
2940,HFI Pyrotechnics,5,hfi pyrotechnics
2941,Canadian Career Development Foundation,5,canadian career development foundation
2942,Emblem Cannabis,5,emblem
2943,Zebra Technologies Corporation,5,zebra technologies
2944,Arctic Research Foundation,5,arctic research foundation
2945,PIRET (16111 Blundell Road) Holdings Inc.,5,piret holdings
2946,Travelers Canada,5,travelers canada
2947,Running Deer Resources Inc.,5,running deer resources inc.
2948,Clorox Company of Canada,5,clorox company of canada
2949,CHEO Foundation,5,cheo foundation
2950,General Insurance OmbudService,5,general insurance ombudservice
2951,Missing Children's Network,5,missing children's network
2952,Blue Ant Media,5,blue ant media
2953,Ocean Wise,5,ocean wise
2954,DBRS Limited,5,dbrs limited
2955,"NORTHROP GRUMMAN ELECTRONIC SYSTEMS INTERNATIONAL, INC.",5,northrop grumman mission systems
2956,Xplornet Communications inc.,5,xplornet communications inc.
2957,IBM Canada Ltd,5,ibm canada ltd
2958,Iris Technologies Inc (IRISTEL),5,iristel inc.
2959,Ecowaste Industries Ltd.,5,ecowaste industries ltd.
2960,Parkland County,5,parkland county
2961,"Fish, Food & Allied Workers/Unifor (FFAW)",5,"fish, food & allied workers/unifor (ffaw)"
2962,"Federation of Students, University of Waterloo",5,"federation of students, university of waterloo"
2963,Copyrightme Corp,5,copyrightme corp
2964,Therapure Biopharma Inc,5,therapure biopharma
2965,Detroit International Bridge Company,5,detroit international bridge company
2966,Climate Change and Emissions Management Corporation,5,climate change and emissions management corporation
2967,Student Price Card (SPC),5,student price card (spc)
2968,Calian Group Ltd.,5,calian group ltd.
2969,"S.C. Johnson & Son, Inc.",5,"s.c. johnson & son, inc."
2970,The Home Depot Canada,5,home depot of canada inc.
2971,Enerkem,5,enerkem
2972,Corix Utilities,5,corix infrastructure inc.
2973,Health Care of Ontario Pension Plan,5,health care of ontario pension plan
2974,The Growcer,5,the growcer
2975,Dominion Diamond Corp.,5,dominion diamond corporation
2976,Tyrone Productions,5,tyrone productions
2977,Brownlee LLP,5,brownlee llp
2978,Labourers' International Union of North America (LIUNA) Local 183 Training Centre,5,laborers' international union of north america canada
2979,Pikangikum First Nation,5,pikangikum first nation
2980,CO2 Solution,5,co2 solutions inc.
2981,O.I. Group,5,o.i. group
2982,Paytm Labs Inc.,5,paytm labs inc.
2983,SK Films Inc.,5,sk films
2984,L-3 Technologies Canada,5,l3 technologies canada inc.
2985,Campus Stores Canada,5,campus stores canada
2986,ALLERGAN CANADA,5,allergan canada
2987,Alberta Livestock and Meat Agency Ltd.,5,alberta livestock and meat agency ltd.
2988,Anthem Sports & Entertainment Corp.,5,anthem sports & entertainment corp.
2989,Competitive Network Operators of Canada,5,competitive network operators of canada
2990,O2 Imports Ltd.,5,o2 imports ltd.
2991,Association des brasseurs du Québec,5,association des brasseurs du quebec
2992,CGI Group Inc,5,cgi
2993,Thunder Bay International Airport Authority Inc.,5,thunder bay international airport authority inc.
2994,E. I. du Pont Canada Company,5,e. i. du pont canada company
2995,Dynacare,5,dynacare
2996,CNH Industrial N.V.,5,cnh industrial n.v.
2997,kaleo,4,kaleo
2998,Canadian Biogas Association,4,canadian biogas association
2999,NEXII Building Solutions Inc.,4,nexii building solutions inc.
3000,Resverlogix Corporation,4,resverlogix corporation
3001,Staples Canada ULC,4,staples canada ulc
3002,Shawanaga First Nation,4,shawanaga first nation
3003,Primerica Financial Services Ltd.,4,primerica financial services ltd.
3004,AFO,4,afo
3005,Enel North America Inc.,4,enel green power canada
3006,VMedia Inc.,4,vmedia inc.
3007,Citizens for Safe Technology,4,citizens for safe technology
3008,Duvaltex,4,duvaltex
3009,Caritas Foundation,4,caritas foundation
3010,NTEA - The Association for the Work Truck Industry (NTEA),4,ntea - the association for the work truck industry (ntea)
3011,University of Ontario Institute of Technology,4,university of ontario institute of technology
3012,United Fisheries Conservation Alliance,4,united fisheries conservation alliance
3013,Bell Pensioners Group,4,bell pensioners group
3014,Zerto Inc.,4,zerto inc.
3015,Lulu Island Winery Ltd.,4,lulu island winery inc.
3016,Laurentian University,4,laurentian university
3017,BHE Canada L.P.,4,bhe canada l.p.
3018,Amel Group,4,amel group
3019,Hitachi Canada,4,hitachi canada
3020,ALENIA NORTH AMERICA,4,alenia north america
3021,Cascades Inc.,4,cascades inc.
3022,British Columbia Civil Liberties Association,4,british columbia civil liberties association
3023,Intelense,4,intelense
3024,Embraer SA,4,embraer sa
3025,Citizen Care Pods Corporation,4,citizen care pods corporation
3026,Appili Therapeutics,4,appili therapeutics
3027,Cameco Corporation,4,cameco
3028,LuminUltra Technologies Ltd.,4,luminultra technologies ltd.
3029,Brookfield Renewable Energy Partners,4,brookfield renewable energy partners
3030,Chantier Davie Canada Inc.,4,chantier davie canada inc.
3031,Friends of High Park Zoo,4,friends of high park zoo
3032,National Smokeless Tobacco Co,4,national smokeless tobacco company
3033,Ontario Flue-Cured Tobacco Growers' Marketing Board,4,ontario flue-cured tobacco growers' marketing board
3034,Vancouver Coastal Health Research Institute,4,vancouver coastal health research institute
3035,Genzyme Canada,4,genzyme canada
3036,University Students' Council of the University of Western Ontario,4,university students' council of the university of western ontario
3037,Harvest Operations Corp.,4,harvest operations corp.
3038,Max Aicher (North America) Ltd.,4,max aicher (north america) ltd
3039,Prince Rupert Grain,4,prince rupert grain
3040,"DRS Sustainment Systems, Inc.",4,"drs sustainment systems, inc."
3041,Canadian Seed Growers  Association,4,canadian seed growers association
3042,Parkland Corporation,4,parkland fuel corporation
3043,DXC Technology,4,dxc technology
3044,Alaska Highway Community Society,4,alaska highway community society
3045,Boating Ontario Association,4,boating ontario association
3046,Fraser Watershed Initiative,4,fraser watershed initiative
3047,Horizon Maritime,4,horizon maritime
3048,PCL Constructors Inc.,4,pcl constructors inc.
3049,HP Inc.,4,hp inc.
3050,CircuitMeter,4,circuitmeter
3051,Independent Broadcasters Group (IBG),4,independent broadcasters group (ibg)
3052,David Mirvish Gallery Inc. and David Mirvish Gallery Limited,4,david mirvish gallery inc. and david mirvish gallery limited
3053,FURTHER POULTRY PROCESSORS ASSOCIATION OF CANADA,4,further poultry processors association of canada
3054,Orbite Exploration,4,orbite technologies inc.
3055,Women's Legal Education & Action Fund (LEAF),4,women's legal education & action fund (leaf)
3056,Microsoft Canada,4,microsoft corporation
3057,Tribal Wi-Chi-Way Capital Corporation,4,tribal wi-chi-way capital corporation
3058,National Association of Friendship Centres,4,national association of friendship centres
3059,Greyhound Canada,4,greyhound canada
3060,Vidyard,4,vidyard
3061,Hoffmann-La Roche Ltd.,4,hoffmann-la roche ltd.
3062,Calgary Zoo,4,calgary zoo
3063,Canadian Wood Pallet and Container Association,4,canadian wood pallet and container association
3064,ONroute Service Centres,4,onroute service centres
3065,SEASPAN MARINE CORPORATION,4,seaspan marine corporation
3066,Algonquin Power Development,4,algonquin power development
3067,Oceans North,4,oceans north
3068,Golden Band Resources Inc.,4,golden band resources inc.
3069,"TPG Capital, L.P.",4,"tpg capital, l.p."
3070,Astral Media Inc.,4,astral media inc.
3071,EPCOR Centre for the Performing Arts,4,epcor centre for the performing arts
3072,Notarius,4,notarius
3073,CANADIAN FINANCE & LEASING ASSOCIATION,4,canadian finance & leasing association
3074,Cineplex,4,cineplex
3075,Vopak Terminals of Eastern Canada Inc.,4,vopak canada
3076,Nexen Inc.,4,nexen inc.
3077,Ontario Funeral Service Association,4,ontario funeral service association
3078,Ontario Greenhouse Vegetable Growers,4,ontario greenhouse vegetable growers
3079,Canadian Power Holdings Inc.,4,canadian power holdings inc.
3080,Quebec Border Mills,4,quebec border mills
3081,Real Time Innovations,4,real time innovations
3082,Bilcon of Delaware Inc.,4,bilcon of delaware inc
3083,Our Home & Miniature Land Inc.,4,our home & miniature land inc.
3084,Tsleil-Waututh Nation,4,tsleil-waututh nation
3085,Camping In Ontario,4,camping in ontario
3086,Research In Motion Limited,4,research in motion limited
3087,Nexen Energy ULC,4,nexen inc.
3088,Pembroke and Area Airport,4,pembroke and area airport
3089,Vanguard Investments Canada Inc.,4,vanguard investments canada inc.
3090,Canadian Adventure Productions Inc.,4,canadian adventure productions inc.
3091,Animation and Visual Effects Alliance of British Columbia,4,animation and visual effects alliance of british columbia
3092,Point Hope Maritime,4,point hope maritime
3093,Simon & Schuster Canada,4,simon & schuster canada
3094,Sears Canada Inc.,4,sears canada inc.
3095,Toronto International Film Festival,4,toronto international film festival
3096,Canadian Sailing Excellence Inc.,4,canadian sailing excellence inc.
3097,EllisDon,4,ellisdon
3098,AIG United Guaranty Mortgage Insurance Company Canada,4,aig united guaranty mortgage insurance company canada
3099,WinMagic Corporation,4,winmagic corporation
3100,National Union of Public and General Employees,4,national union of public and general employees
3101,Phoslock Environmental Technologies,4,phoslock environmental technologies
3102,De Beers Canada,4,de beers canada
3103,HERBAL MAGIC INC.,4,herbal magic
3104,Ladies Learning Code,4,ladies learning code
3105,BOSTON SCIENTIFIC,4,boston scientific
3106,"FORD MOTOR COMPANY OF CANADA, LTD.",4,"ford motor company of canada, ltd."
3107,Spotify Canada,4,spotify canada
3108,Applied Recognition Inc.,4,applied recognition inc.
3109,Montreal Arctic Group,4,montreal arctic group
3110,Seaspan Marine Corporation,4,seaspan marine corporation
3111,Campaign Life Coalition,4,campaign life coalition
3112,National Allied Golf Associations,4,national allied golf associations
3113,Association of Equipment Manufacturers,4,association of equipment manufacturers
3114,Aéroport de Québec inc.,4,aeroport de quebec inc.
3115,Vanadium Producers and Reclaimers Association,4,vanadium producers and reclaimers association
3116,Canadian Ski Hall of Fame and Museum,4,canadian ski hall of fame and museum
3117,VIH Aviation Group,4,vih aviation group
3118,College of Traditional Chinese Medicine Practitioners and Acupuncturists of Ontario,4,college of traditional chinese medicine practitioners and acupuncturists of ontario
3119,MapleLNG,4,maplelng
3120,Salient Energy Inc.,4,salient energy inc.
3121,Mainstream Canada (A Division of Ewos Canada Ltd.),4,mainstream canada (a division of ewos canada ltd.)
3122,Metis Nation-Saskatchewan,4,metis nation of canada
3123,CorActive High Tech Inc.,4,coractive high tech inc.
3124,Alma Mater Society of the University of British Columbia,4,alma mater society of the university of british columbia
3125,ABORIGINAL PEOPLES TELEVISION NETWORK,4,aboriginal peoples television network
3126,Westshore Terminals Limited Partnership,4,westshore terminals limited partnership
3127,Sun Life Financial,4,sun life financial
3128,Amex Canada Inc.,4,amex bank of canada
3129,Pacific Health Innovation eXchange (PHIX),4,pacific health innovation exchange (phix)
3130,Tea and Herbal Association of Canada,4,tea and herbal association of canada
3131,Right Now Technologies,4,right now technologies
3132,AllerGen NCE Inc.,4,allergan inc.
3133,inBAY Technologies Inc,4,inbay technologies inc
