string0,string1
American Veterinary Medical Assn,AMERICAN VETERINARY MEDICAL ASSOCIATION
"Washington County, OR","WASHINGTON CO, OR"
National Assn of Insurance & Financial Advisors,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS
Great American Insurance,GREAT AMERICAN INSURANCE CO
PeopleTec Inc,PEOPLE TEC
Intl Intellectual Property Institute,INTL INTELLECTUAL PROPERTY INST
Tekontrol Inc,"TEKONTROL, INC"
Beacon Capital Partners,BEACON CAPITAL PARTNERS
Human Genome Sciences,HUMAN GENOME SCIENCES
"Sandoval County, NM","Sandoval County, New Mexico"
DuPont Co,E. I. du Pont de Newmours and Company
"Seraphin, Robert A",MR. ROBERT SERAPHIN
Association of Oil Pipe Lines,ASSOCIATION OF OIL PIPE LINES
Savantage Financial Services,"Savantage Financial Services, Inc"
Jennifer Bell & Partners,Jennifer Bell + Partners
National Trade Productions,NATL TRADE PRODUCTIONS
"Tiner, Michael E","TINER, MICHAEL L."
"City of Boston, MA","CITY OF BOSTON, MA"
BB&T Corp,BB&T CORP
Wendy's International,WENDYS INTL INC
Nexteer Automotive,Nexteer Automotive Corporation
Dutko Worldwide,DUTKO WORLDWIDE
SSAB Enterprises,"SSAB Enterprises, LLC"
Washington Post Co,The Washington Post Company
Trinidad/Benham Corp,Trinidad Benham Corporation
University of Texas Medical Branch,UNIV OF TEXAS MEDICAL BRANCH
Calaveras County Water District,CALAVERAS CO WATER DISTRICT
Moffitt Cancer Center,H. Lee Moffitt Cancer Center & Research Institute
International Center for Clubhouse Dev,INTL CENTER FOR CLUBHOUSE DEVELOPMENT
Certified Angus Beef,CERTIFIED ANGUS BEEF
"Hamilton, Dorrance H","HAMILTON, DORRANCE H."
Ridgewood Power Management,RIDGEWOOD POWER MANAGEMENT
Western Alliance of Farmworker Advocates,"WESTERN ALLIANCE OF FARMWORKER ADVOCATES, INC"
Ariau Amazon Towers Hotel,ARIAU AMAZON TOWERS HOTEL
Nethercutt Consulting,NETHERCUTT CONSULTING LLC
Reed Elsevier Inc,"Reed Elsevier, Inc."
Anagenesis Trees Corp,Anagenesis Trees Corporation
Cayman Portfolio of Finance & Economics,"PORTFOLIO OF FINANCE & ECONOMICS, CAYMAN ISLANDS GOVT"
Shaw Group,"The Shaw Group Inc., a CB&I Company"
International Council of Cruise Lines,CRUISE LINES INTL ASSN
"Imperial County, CA","IMPERIAL COUNTY, CALIFORNIA"
Immune Complex Corp,IMMUNE COMPLEX CORP
Grace College,GRACE COLLEGE
US Airways,AMERICA WEST AIRLINES
Worldwide Equipment,"Worldwide Equipment, Inc."
International Alternative Energy Resources,INTERNATIONAL ALTERNATIVE ENERGY RESOURCES INC
Rockwell Collins Inc,ROCKWELL COLLINS INC
Section 1374 Coalition,SECTION 1374 COALITION
Office of the Governor of Massachusetts,"OFFICE OF THE GOVERNOR, COMMONWEALTH OF MASSACHUSETTS"
Rio Grande Valley Sugar Growers,RIO GRANDE VALLEY SUGAR GROWERS
Real Access Coalition,REAL ACCESS COALITION
Liberty Healthcare,LIBERTY HEALTHCARE SYSTEM
Navy League of the US,NAVY LEAGUE OF THE UNITED STATES
CUNA Mutual Group,CUNA Mutual
PeopleForBikes,PeopleForBikes Coalition
Thinkstream,"Thinkstream, Inc."
Baskerville-Donovan Inc,BASKERVILLE-DONOVAN INC.
"City of Kodiak, AK",CITY OF KODIAK
"City of Novato, CA",NOVATO-CA CITY OF
Louisiana Home Builders Assn,Louisiana Home Builders Association
S&P Global,"McGraw Hill Financial, Inc."
Benham Companies,BENHAM COS
Florida Power & Light,FLORIDA POWER & LIGHT COMPANY
Stowers Institute,STOWERS INSTITUTE
CDO Information Technologies,CDO TECHNOLOGIES INC
ReVenture Park Investments 1,"ReVenture Park Investments 1, LLC"
Moore & Van Allen,Moore & Van Allen PLLC
Grand Strand Business Assn,Grand Strand Business Association
Sam Medical Products,SAM MEDICAL PRODUCTS INC
Thurgood Marshall Scholarship Fund,THURGOOD MARSHALL SCHOLARSHIP FUND
Prevent Blindness America,PREVENT BLINDNESS AMERICA
General Animal Drug Alliance,GENERIC ANIMAL DRUG ALLIANCE
"Bevan, Carol Statudo",Carol Statuto Bevan
"Morrison, Gray",GRAY MORRISON
Tyson Foods,"TYSON FOODS, INC"
California Assn for Adult Day Services,CALIFORNIA ASSN FOR ADULT DAY SERVICES
KPMG LLP,"KPMG, LLP"
International Assn of Rehabilitation Professionals,International Association of Rehabilitation Professionals Registration
Orion Energy Group,Orion Energy Systems
Texas A&M University,The Texas A&amp;M University System
Jane Goodall Institute,the Jane Goodall Institute
"Westmoreland, Timothy Mark","WESTMORELAND, TIMOTHY MARK"
International Boxing Federation,INTL BOXING FEDERATION
Arktis Detection Systems,"Arktis Detection Systems, Inc."
"Village of Franklin Park, IL",VILLAGE OF FRANKLIN PARK THE
Wheelabrator Technologies,"WHEELABRATOR TECHNOLOGIES, INC."
Sea Education Assn,SEA EDUCATION ASSN
Doctors' Co,DOCTORS MEDICAL CENTER
Nanogen,NANOGEN
VICCS Federal Sector Systems,"VFSS-VICCS Federal Sector Systems, LLC"
American Assn of Neuromusc & Electrodiagnostic Med,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine
Capitol Technology Affairs,"Capitol Technology Affairs, LLC"
Tyco International Manufacturing Co,TYCO INTERNATIONAL MANAGEMENT COMPANY
Bob Lawrence & Assoc,LAWRENCE & ASSOC BOB
Alamance Regional Medical Center,ALAMANCE REGIONAL MEDICAL CENTER
Sheet Metal & Air Conditioning Contractors Assn,SHEET METAL & AIR CONDITIONING CONTRACTORS NATL ASSN
DMB Assoc,"DMB ASSOCIATES, INC."
Engineering Support Personnel,ENGINEERING SUPPORT PERSONNEL
Atlantic Richfield,ARCO
Association of Minnesota Counties,ASSN OF MINNESOTA COUNTIES
Verizon Wireless,"VERIZON WIRELESS, INC"
International Paper,INTL PAPER
Computer Assoc International,COMPUTER ASSOCIATES
2U Inc,"2U, Inc"
Takata Protection Systems,Takata Protection Systems Inc.
"Chahine, Hicham S",Hicham S. Chahine
GDF Suez Energy North America,SUEZ ENERGY NORTH AMERICA INC
Natl Assn/Univ Forest Resource Programs,NATIONAL ASSOCIATION OF UNIVERSITY FOREST RESOURCE PROGRAMS
Robert Branand International,"BRANAND INTL, ROBERT"
Geneva Steel,GENEVA STEEL
Authentic8 Inc,"Authentic8, Inc."
St Jude Children's Research Hospital,ST JUDE CHILDREN'S RESEARCH HOSPITAL
Provident Strategies,"PROVIDENT STRATEGIES, LLC"
Occupational HealthLink Inc,"Occupational HealthLink, Inc."
Barry University,BARRY UNIV
Cyxtera Technologies,"Cyxtera Technologies, Inc."
Fort Hood National Bank,FORT HOOD NATL BANK
National Business Aviation Assn,NATIONAL BUSINESS AVIATION ASSOCIATION INC
American College of Gastroenterology,AMERICAN COLLEGE OF GASTROENTEROLOGY
Emerson Electric,EMERSON ELECTRIC CO
Greater Johnstown Regional Partnership,"Greater Johnstown Regional Partnership, PA"
European American Armory,EUROPEAN AMERICAN ARMORY CORP
AmerisourceBergen Corp,AmeriSourceBergen Corporation
Natl Assn of Bar-Related Title Insurers,NATL ASSN OF BAR-RELATED TITLE INSURERS
Wellpoint Inc,WELLPOINT
Universal Music Group,VIVENDI UNIVERSAL - UNIVERSAL MUSIC GROUP
Regence Blue Cross/Blue Shield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON
National Assn of Bankruptcy Trustees,NATIONAL ASSOCIATION OF BANKRUPTCY TRUSTEES
Online Publishers Assn,"Online Publishers Association, Inc."
Lsp Technologies,LSP TECHNOLOGIES INC
Mortgage Bankers Assn of America,MORTGAGE BANKERS ASSOCIATION
Jac Logistics,JAC LOGISTICS
Bp Shipping USA,BP SHIPPING USA
Mechanix Wear,MECHANIX WEAR INC
Mobile Tool International,MOBILE TOOL INTL
National Automatic Merchandising Assn,National Automatic Merchandising Association
International Assn of Plastics Distribution,International Association of Plastics Distribution
National Surgical Assistant Assn,NATL SURGICAL ASSISTANT ASSN
"City of Nevada, MO","CITY OF NEVADA, MISSOURI"
Pitney Bowes Inc,"PITNEY BOWES, INC."
"City of Federal Way, WA",CITY OF FEDERAL WAY
"Cerna, Oscar M",OSCAR M CERNA
Eli Lilly & Co,Eli Lilly and Company
VHB Engineering/Surveying/Landscape Architecture,"VHB Engineering, Surveying and Landscape Architecture, P.C."
American Assn of Port Authorities,AMERICAN ASSOCIATION OF PORT AUTHORITIES
American Nursery & Landscape Assn,AMERICAN NURSERY & LANDSCAPE ASSOCIATION
Oak Health Strategies,Oak Health Strategies LLC
RPB Co,RPB CO
RJ Reynolds Tobacco,R J REYNOLDS TOBACCO CO
US Aquasonics Corp,US AQUASONICS CORP
Cabot Corp,Cabot Corporation
American Vocational Schools PAC,American Vocational Schools Political Action Committee
California State University/Fresno,CALIFORNIA STATE UNIV FRESNO ASSN
Hoechst Celanese Corp,CELANESE
First American Transp Title Insurance,FIRST AMERICAN TRANSPORTATION TITLE INSURANCE CO
Thrivent Financial for Lutherans,THRIVENT FINANCIAL FOR LUTERANS
Premier Manufacturing Support Services,"Premier Manufacturing Support Services, Inc."
Central Florida Regional Trans Authority,CENTRAL FLORIDA REGIONAL TRANSPORTATION AUTHORITY
John Duncan & Assoc,"John Duncan and Associates, LLC"
Metro Transit Development Board,METRO TRANSIT DEVELOPMENT BOARD
HealthSouth Corp,HEALTHSOUTH CORPORATION
"Penney, Bradford",Mr. BRADFORD A. PENNEY
Waggoner Engineering,WAGGONER ENGINEERING
US Chamber Institute for Legal Reform,U.S. CHAMBER INSTITUTE FOR LEGAL REFORM
Snap Inc,Snap Inc.
Discovery Inc,Discovery Communications
Kansas City Southern Industries,KANSAS CITY SOUTHERN INDUSTRIES
Pegasus Global,Pegasus Global Holdings
Gannett Co,GANNETT CO
Utility Composite Solutions,"Utility Composite Solutions International, Inc."
Morocco Ministry of Foreign Affairs,"MINISTRY OF FOREIGN AFFAIRS, GOVT OF MOROCCO"
Institute for Educational Leadership,The Institute for Educational Leadership
"Kelly, Colleen",Colleen kelly
Harris County Metro Transit Authority,METROPOLITAN TRANSIT AUTHORITY OF HARRIS COUNTY
Aegis Defence Services,AEGIS DEFENCE SERVICES LTD
Nortel Networks,NORTEL NETWORKS
Institute for Study Abroad,"The Institute for Study Abroad, Butler University"
KOS Pharmaceuticals,KOS PHARMACEUTICALS INC
Family Violence Prevention Fund,FAMILY VIOLENCE PREVENTION FUND
Isothermal Systems Research,"Isothermal Systems Research, Inc."
Mirabella SpA,MIRABELLA SG SPA
FedEx Corp,OGILVY GOVERNMENT RELATIONS
Arbitron Inc,Arbitron Inc.
Unified Recovery Group,Unified Recovery Group LLC
Advocate Aurora Health,ADVOCATE HEALTH CARE
Gensym Corp,GENSYM
Welldog Inc,WELLDOG INC
"Lefevre, Jessica S",Jessica Lefevre
North Star Education Finance,NORTH STAR EDUCATION FINANCE
Southern Christian University,SOUTHERN CHRISTIAN UNIV
Special Libraries Assn,SPECIAL LIBRARIES ASSOCIATION
American Assn for Cardiovascular Rehab,AMERICAN ASSN FOR CARDIOVASCULAR & PULMONARY REHAB
Rehabcare Group,REHABCARE
First South Farm Credit ACA,"FIRST SOUTH FARM CREDIT, ACA"
Medici LLC,"Medici, LLC"
"Camp, Dresser & McKee",CAMP DRESSER & MCKEE INC
UPMC Health System,UPMC HEALTH SYSTEM
Antigua Online Gaming Assn,Antigua Online Gaming Association
CHG & Assoc,CHG and Associates
Metropolitan Transportation Commission,METROPOLITAN TRANSPORTATION COMMISSION
Beer Institute,BEER INSTITUTE
Capitol Impact LLC,CAPITOL IMPACT LLC
Produced Water Development,"Produced Water Development, LLC"
Purestream Technology,"Purestream Technology, Inc."
Independent Bankers Assn of Texas,INDEPENDENT BANKERS OF TEXAS
National Council on Independent Living,NATIONAL COUNCIL ON INDEPENDENT LIVING
Capitol Hill Strategies,CAPITOL HILL STRATEGIES LLC
Ems Inc,EMS INC
Maglev Inc,"MAGLEV, INC"
Alcan Aluminum,ALCAN ALUMINUM
"City of St Peters, MO",CITY OF ST PETERS
FINCA International,"FINCA International, Inc."
UBS Financial Services,UBS FINANCIAL SERVICES INC
Shell Oil,Shell Oil Products US
Akridge,AKRIDGE
American Battlefield Trust,AMERICAN BATTLEFIELD TRUST
Braskem America,"Braskem America, Inc."
Hamilton Advisors,"Hamilton Advisors, Inc."
Group W Advisors,GROUP W
Kansas Green Energy,Kansas Green Energy LLC
Cleveland-Cuyahoga County Port Authority,Cleveland and Cuyahoga County Port Authority
FAA Managers Assn,FAA MANAGERS ASSOCIATION
Advanced Clinical Consultants,"Advanced Clinical Consultants, LLC"
Susan G Komen Breast Cancer Foundation,SUSAN G. KOMEN BREAST CANCER FOUNDATION
Ceridian Corp,CERIDIAN CORP
Town of Chesapeake City,TOWN OF CHESAPEAKE CITY
Forest Landowners Tax Council,FOREST LANDOWNERS TAX COUNCIL
Laszlo N Tauber & Assoc,"TAUBER & ASSOC, LASZLO N."
Pemco Aviation Group,PEMCO AVIATION GROUP INC
RI Assn of Facilities/Srvc for the Aging,RHODE ISLAND ASSOCIATION OF FACILITIES AN SERVICES FOR THE AGING
Cernium Corp,CERNIUM CORPORATION
Western Peanut Growers Assn,WESTERN PEANUT GROWERS ASSN
"Port of Benton, WA","Port of Benton, Washington"
Go for Broke National Education Center,Go For Broke National Education Center
Kellen Co,KELLEN COMPANY
Alston & Bird,ALSTON & BIRD
Institute for Science & Human Values,"Institute for Science and Human Values, Inc"
"Morris, Martin",Martin Morris
National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC"
Sanofi Genzyme,GENZYME CORPORATION
Nutech O3 Inc,NUTECH-03
Swiss Re America,SWISS RE AMERICA HOLDING CORP
Hoffmann-La Roche,HOFFMANN-LA ROCHE
Visiting Nurse Assn of Somerset Hills,VISITING NURSE ASSN OF SOMERSET HILLS
Kodiak Area Native Assn,KODIAK AREA NATIVE ASSN
National Precast Concrete Assn,"National Precast Concrete Association, Inc."
"City of Avondale, AZ","City of Avondale, Arizona"
NASDAQ Stock Market,NASDAQ STOCK MARKET
Padco Inc,"PADCO, INC"
Geodetics,"GEODETICS, INC"
Quinetiq Government Relations,QUINETIQ GOVERNMENT RELATIONS
Griesinger Assoc,GRIESINGER ASSOCIATES INC
Medco Health Solutions,"Medco Health Solutions, Inc."
California Dept of Education,CA DEPT OF EDUCATION
National Assn for Oilheat Research & Ed,NATIONAL ASSOCIATION FOR OILHEAT RESEARCH AND EDUCATOIN
Doosan Infracore International,"Doosan Infracore International, Inc."
MetroStar Systems,METRO STAR SYSTEMS
DuPont Co,DUPONT CORP
James Agee Films Project,JAMES AGEE FILMS PROJECT
National Accrediting Commission Career Arts & Sci,National Accrediting Commission of Carer Arts & Sciences
"Sigmon, John Wilson","SIGMON, JOHN WILSON"
Affymetrix Inc,"AFFYMETRIX, INC"
"Haines Borough, AK",HAINES BOROUGH
Brooke Group,BROOKE GROUP LTD
Coalition on HSA Coordination,COALITION ON HSA COORDINATION
Sanderson Farms,"Sanderson Farms, Inc."
Pasha Hawaii Transport Lines,The Pasha Group
Intrepid Potash,Intrepid Potash Inc.
Algiers Development District,ALGIERS DEVELOPMENT DISTRICT
Southern States Police Benevolent Assn,SOUTHERN STATES POLICE BENEVOLENT ASSN
Leading Builders of America,LEADING BUILDERS OF AMEICA INC
C&W USA,C & W USA
Craft & Hobby Assn,Craft and Hobby Association
Precision Combustion,Precision Combustion Inc.
Computer Information Specialists Inc,COMPUTER INFORMATION SPECIALISTS
Pennslyvania Biotechnology Assn,Pennsylvania Biotechnology Association - ALA: Pennsylvania Bio
USA Managed Care Org,USA MANAGED CARE ORGANIZATION
Healthcare Distribution Management Assn,Healthcare Distribution Management Association
Albemarle Corp,ALBEMARLE CORP
Vectren Corp,Vectren Corporation
Golin/Harris International,Golin Harris
"Williams, Julia",Julia Williams
Oakley Networks,OAKLEY NETWORKS
3Cinteractive,3Cinteracive
Catholic Healthcare Partners,CATHOLIC HEALTH PARTNERS
Afton Chemical,"Afton Chemical, Inc."
Froedtert Memorial Lutheran Hospital,FROEDTERT MEMORIAL LUTHERAN HOSPITAL
National Oilheat Research Alliance,National Association for Oilheat Research and Education
"McDonald, Hopkins et al",MCDONALD HOPKINS LLC
Giner Electrochemical Systems,GINER ELECTROCHEMICAL SYSTEMS LLC
Iowa Health System,IOWA HEALTH SYSTEM
Aarhus University Hospital,AARHUS UNIVERSITY HOSPITAL
Rust Consulting,"Rust Consulting, Inc"
Charles Schwab Corp,Schwab
Louis Dreyfus Commodities,Louis Dreyfus Commodities LLC
"Gonzalez, Roberto",Mr. Roberto A. Gonzalez
"Kreseski, Steven",STEVEN KRESESKI
University Cardiovascular Care,UNIV CARDIOVASCULAR CARE CORP
American Assn of Motor Vehicle Admins,AMERICAN ASSN OF MOTOR VEHICLE ADMINISTRATORS
7-Eleven,7-ELEVEN
Jumpstart,JUMPSTART FOR YOUNG CHILDREN
National Grid USA,NATL GRID
Washington Center Alliance,WASHINGTON CENTER ALLIANCE
Kansas City Board of Public Utilities,KANSAS CITY BOARD OF PUBLIC UTILITIES
Centrix Financial,CENTRIX FINANCIAL
Veraplan,"VeraPlan, LLC"
TCH Group,"TCH Group, LLC"
"City of Tulsa, OK",City of Tulsa
Philips Electronics North America,PHILIPS APPLIED TECHNOLOGIES
Avery Dennison,AVERY DENNISON OFFICE PRODUCTS N A
Native Village of Eklutna,NATIVE VILLAGE OF EKLUTNA
Washington State Dept of Transportation,WASHINGTON STATE DEPT OF TRANSPORTATION
Horne-Enviance Joint Venture,ENVIANCE
Fairfax Inc,FAIRFAX INC
PRISM International,PRISM INTL
United Corrstack,"United Corrstack, LLC"
Intrafusion,METECHOS MANAGEMENT GROUP
Osiris Therapeutics,"Osiris Therapeutics, Inc."
National Business Aviation Assn,"National Business Aviation Association, Inc."
Rick Maldonado Assoc,"MALDONADO ASSOC, RICK"
Institute Intl Container Lessors,INSTITUTE OF INTERNATIONAL CONTAINER LESSORS
Galliano Marine Services,GALLIANO MARINE SERVICES LLC
"City of Santa Clarita, CA",CITY OF SANTA CLARITA CALIFORNIA
"Bradley, Arant et al",BRADLEY ARANT ROSE & WHITE LLP
Sams el Segundo,SAMS EL SEGUNDO LLC
Neptunic Technologies,"Neptunic Technologies, Inc."
Aunt Martha's Youth Service Center,AUNT MARTHAS YOUTH SERVICES
Canadian Snowbird Assn,Canadian Snowbird Association
Le Mas Ltd,"LE MAS, LTD"
Proteus Co,PROTEUS CO
Seacoast Power,SEACOAST POWER
Save CDSOA Coalition,SAVE CDSOA COALITION
Port Investment & Development Inc,PORT INVESTMENT AND DEVELOPMENT INC
University of Texas,THE UNIVERSITY OF TEXAS SYSTEM
Sense Inc,SENSE
Uniform & Textile Service Assn,UNIFORM & TEXTILE SERVICE ASSOCIATION
Colorado Railcar Manufacturing,COLORADO RAILCAR MANUFACTURING
Penske Truck Leasing,PENSKE TRUCK LEASING CO L P
"Jefferson County, AL Commission",Jefferson County Commission
EOP Group,EOP GROUP INC
"City of Victorville, CA",CITY OF VICTORVILLE
Griffis Local Development Corp,Griffis Local Development Corporation
Tatum Cio Partners,TATUM CIO PARTNERS
Fair Fisheries Coalition,FAIR FISHERIES COALITION
Best Buy,"Best Buy Co., Inc."
CARE Action Now,"CARE Action Now, Inc"
Biopure Corp,BIOPURE CORP
Odebrecht Construction,Odebrecht Construction Inc
Lojack Corp,LOJACK CORPORATION
Evergreen America,EVERGREEN AMERICA CORPORATION
Farm Credit South Florida,FARM CREDIT SOUTH FLORIDA
Wabtec Corp,WABTEC CORP
Council of State Adm of Vocational Rehab,COUNCIL OF STATE ADMIN OF VOCATIONAL REHABILITATORS
Miami Jewish Hospital & Home for Aged,Miami Jewish Hospital and Home for the Aged
Sprenger & Lang,"Sprenger & Lang, PLLC"
Sunflower Electric Power Corp,Sunflower Electric Power Corporation
Lowe's Companies,LOWE'S COMPANIES INC.
Maryland DC Delaware Broadcasters Assn,Maryland-District of Columbia-Delaware Broadcasters Association
Project to Promote Cmptn in Digital Age,PROJECT TO PROMOTE COMPET & INNOV IN THE DIGITAL AGE
Rolls-Royce North America,ALLISON ENGINE CO
Natl Assn of Classified School Employees,NATIONAL ASSOCIATION OF CLASSIFIED SCHOOL EMPLOYEES
National Assn of Arab Americans,NAAA
Metropolitan Area Networks,METROPOLITAN AREA NETWORKS
Assn Health Care Coalition,ASSN HEALTHCARE COALITION
Institutional Limited Partners Assn,Institutional Limited Partners Association
International Biometric Industry Assn,INTERNATIONAL BIOMETRIC INDUSTRY ASSOCIATION
Port Authority of Allegheny County,PORT AUHTORITY OF ALLEGHANY COUNTY
American Assn for Geriatric Psychiatry,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY
World Team Sports,WORLD TEAM SPORTS
Tikigaq Corp,TIKIGAQ
"Seyfarth, Shaw et al",SEYFARTH SHAW
Baylor University,BAYLOR UNIVERSITY
Frost Brown Todd LLC,FROST BROWN TODD
Ospraie Advisors,"Ospraie Advisors, LP"
Independent Comm/Reform/US Olympic Cmte,INDEPENDENT COMMISSION ON REFORM OF THE US OLYMPIC COMMITTEE
InterDigital Inc,INTERDIGITAL INC
Heartland Consulting Group,"Heartland Solutions Group, Inc."
"City of Calimesa, CA","CITY OF CALIMESA, CA"
Pegasus Assoc,PEGASUS ASSOCIATES INC
European Banking Federation,European Banking Federation - EBF
"Wolf, Block et al",WOLF BLOCK GOVERNMENT RELATIONS
International Bank of Chicago,INTL BANK OF CHICAGO
Scholastic Corp,"SCHOLASTIC, INC"
Kyocera Corp,Kyocera Corporation
United Student Aid Funds,"United Student Aid Funds, Inc."
National Aggregates Assn,NATL AGGREGATES ASSN
National City Corp,NATL CITY CORP
"Trant, Matt","TRANT, MATT"
Footwear Distribs & Retailers of America,FOOTWEAR DISTRIBUTORS & RERTAILERS OF AMERICA
Finishing Trades Institute/Mid Atlantic,Finishing Trades Institute of the Mid Atlantic Region
National Stripper Well Assn,National Stripper Well Association
McCord Research Foundation,MCCORD RESEARCH CENTER
BNSF Railway,BURLINGTON NORTHERN AND SANTA FE RAILWAY CO
American Assn of Colleges of Nursing,AMERICAN ASSOCIATION OF COLLEGES OF NURSING
Emdeon Corp,EMDEON CORP
USC Center for the Digital Future,UNIVERSITY OF SOUTHERN CALIFORNIA CENTER FOR THE DIGITAL FUTURE
Houchens Industries,HOUCHENS INDUSTRIES
Blue Heron Advisors,"Blue Heron Advisors, LLC"
"City of Bakersfield, CA","CITY OF BAKERSFIELD, CALIFORNIA"
Communications Workers of America,COMMUNICATIONS WORKERS OF AMERICA
SGL Carbon AG,ELEMENTIS AMERICA INC
American College of Cardiology,American College of Cardiologists
Formosan Assn for Public Relations,FORMOSAN ASSOCIATION FOR PUBLIC RELATIONS
West Pennsylvania Allegheny Health Sys,West Penn Allegheny Health System
"Crossway, Maggie",Mrs. Maggie Crosswy
Kerzner International Resorts,"NASSAU-PARADISE ISLAND PROMOTION BOARD - KERZNER INTL RESORTS, INC"
National Fish & Wildlife Foundation,NATL FISH & WILDLIFE FOUNDATION
Hackettstown Community Hospital,HACKETTSTOWN COMMUNITY HOSPITAL
Binghamton University,BINGHAMTON UNIV - STATE UNIV OF NY
Hebrew Immigrant Aid Society,HIAS
"Tucker, Patrick",Mr. PATRICK TUCKER
Agilis Management,"Agilis Management, Inc."
"Allegheny County, PA",ALLEGHENY COUNTY
Advocate Health Care,ADVOCATE HEALTHCARE
General Atomics,GENERAL ATOMICS
International Relief & Development,International Relief and Development
Zions Bancorp,ZIONS FIRST NATL BANK
RBF Consulting,RBF
Allied Charities of Minnesota,ALLIED CHARITIES OF MINNESOTA
National Alliance for Responsible Philanthropy,NATL ALLIANCE FOR RESPONSIBLE PHILANTHROPY
Cortez Byrd Chips,CORTEZ BYRD CHIPS INC
CPU Technology,CPU TECHNOLOGY INC
"Cifuentes, Alvaro C",Alvaro C. Cifuentes
Coalition 21st Century Postal Service,Coalition for a 21st Century Postal Service
Timothy Bell & Co,TIMOTHY BELL AND COMPANY
Heartland Partnership,HEARTLAND PARTNERSHIP
Proavih,PROAVIH
Dotchin & Assoc,"DOTCHIN & ASSOCIATES, LLC"
E*Trade Group,E*TRADE
Time Warner,TIME WARNER
Atlanta Watershed Authority,ATLANTA WATERSHED AUHTORITY
Central & South West Corp,CENTRAL & SOUTHWEST CORP
UMass Memorial Health Care,UMASS MEMORIAL HEALTH CARE
CannaDynamics,Canna-Dynamics
Invenergy LLC,INVENERGY LLC
Land O'Lakes,RUSSELL GROUP INC OBO LAND O'LAKES INC
Holocaust Survivors Foundation USA,HOLOCAUST SURVIVOR FOUNDATION USA INC
"City of Pensacola, FL",City of Pensacola
EW Enterprises,EW ENTERPRISES
Cmte/Competitive Ammonium Nitrate Market,COMMITTEE FOR A COMPETITIVE AN MARKET
DynCorp,DYNCORP AEROSPACE TECHNOLOGY
"Butte County, CA","BUTTE COUNTY, CALIFORNIA"
Nance & Assoc,NANCE & ASSOC
Anschutz Corp,THE ANSCHUTZ CORPORATION
Brookhaven Science Assoc,BROOKHAVEN SCIENCE ASSOC
"Long Beach Water Dept, CA","LONG BEACH WATER DEPARTMENT, CA"
Academi LLC,ACADEMI LLC
Tate Dugan & Assoc,"tate,dugan and associates"
Healthcare Compliance Packaging Council,HEALTHCARE COMPLIANCE PACKAGING COUNCIL
Florida Mfg Extension Partnership,Florida MEP
Law Office of John T O'Rourke,"OROURKE, LAW OFFICES OF JOHN T"
BASF Catalysts,BASF CAYALYSTS DIVISION
"City of Greenville, NC",GREENVILLE-NC CITY OF
WB Driggers & Assoc,"DRIGGERS & ASSOC, W B"
Fx Alliance,"FX Alliance, LLC"
Blue Cross/Blue Shield of Tennessee,BLUE CROSS & BLUE SHIELD OF TENNESSEE
Bristol-Myers Squibb,BRISTOL-MEYERS SQUIBB COMPANY
Nuclear Electric Insurance,NUCLEAR ELECTRIC INSURANCE LTD
Port San Luis Harbor District,PORT SAN LUIS HARBOR DISTRICT
Dial Corp,DIAL CORPORATION
Pioneer Crossing Casinos,"Pioneer Crossing Casinos, Inc"
Alliance for Children & Families,ALLIANCE FOR CHILDREN & FAMILIES
Fleishman-Hillard Inc,FLEISHMAN-HILLARD
P3 Consulting,"P3 CONSULTING, LLC"
American Speech-Language-Hearing Assn,AMERICAN-SPEECH-LANGUAGE-HEARING ASSOCIATION
Plum Creek Timber,PLUM CREEK TIMBERLANDS LP
Lotus Development,LOTUS DEVELOPMENT CORP
Washington Post Co,WASHINGTON POST COMPANY
Geometrix,GEOMETRIX
Metropolitan Nashville Airport Authority,STOKES BARTHOLOMEW EVANS & PETREE FOR METROPOLITAN NASHVILLE AIRPORT AUTHORITY
Healthcare Billing & Management Assn,HEALTHCARE BILLING & MANAGEMENT ASSN
State of Nevada,STATE OF NEVADA
QTC Management,QTC
Friends Cmte on National Legislation,FRIENDS COMMITTEE ON NATL LEGISLATION
"Blocklin, Peter",Peter Blocklin
Aquila Inc,UCU - INTL
SwedishAmerican Health System,Swedish American Health System
Sher & Blackwell,SHER & BLACKWELL LLP
Dominion Dental,DOMINION DENTAL
Lake Erie College of Osteopathic Med,LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE
Same Page,SAME PAYE LLC
Ambulatory Surgery Center Assn,AMBULATORY SURGERY CENTER ASSOCIATION
OSI Restaurant Partners,"OSI RESTAURANT PARTNERS, LLC PAC"
San Bernardino Municipal Water Dept,"SAN BERNARDINO, MUNICIPAL WATER DEPARTMENT"
Texaco,TEXACO GROUP
Sandisk Corp,SanDisk Corporation
Natl Fraternal Congress of America,National Firearms Act Trade and Collector's Association
LTV Corp,LTV CORP
Cleveland Bluffs Development,CLEVELAND BLUFFS DEVELOPMENT
Manitoba Hydro Corp,Manitoba Hydro Corporation
