string0,string1
Acres International,ACRES INTL LIMITED
Cyren Call Communications,Cyren Call Communications Corporation
American Tours International,"AMERICAN TOURS INTERNATIONAL, LLC"
St Louis County Economic Council,ECONOMIC COUNCIL OF ST LOUIS COUNTY
"Brocato, Barbara et al",BARBARA MARX BROCATO AND ASSOCIATES
"City of Trotwood, OH","CITY OF TROTWOOD, OH"
Schuykill River Development Council,SCHUYKILL RIVER DEVELOPMENT COUNCIL
Louisiana Dept of Natural Resource,LOUISIANA DEPARTMENT OF NATURAL RESOURCES
Next Generation Lighting Industry Alliance,NEXT GENERATION LIGHTING INDUSTRY ALLIANCE
MetLife Inc,METROPOLITAN LIFE INSURANCE CO
Textile Rental Services Assn of America,Textile Rental Services Association
BNFL Inc,BRITISH NUCLEAR FUELS
Driftwood Properties,"DRIFTWOOD PROPERTIES, LLC"
"McConnell, James F",JAMES F MCCONNELL ESQ
Clean Energy Group,Clean Energy Corp
University of Arizona,UNIVERSITY OF ARIZONA
Drakontas LLC,DRAKONTAS
St Joseph's Hospital & Medical Center,ST. JOSEPH'S HOSPITAL MEDICAL CENTER
Stratton Composite Solutions,STRATTON COMPOSITE SOLUTIONS
Capmark Financial Group,CAPMARK FINANCIAL GROUP INC.
Choctaw Nation of Oklahoma,CHOCTAW NATION OF OKLAHOMA
Alternate Concepts Inc,"Alternate Concepts, Inc."
Lumbermen's Mutual Casualty,LUMBERMENS MUTUAL CASUALTY CO
First DuPage Bank,FIRST DuPAGE BANK
RG Steel LLC,"RG Steel, LLC"
Earl Industries,"Earl Industries, LLC"
Bankers American Capital Corp,BANKERS AMERICAN CAPITAL CORP
Pacific Shipyards International,PACIFIC SHIPYARDS INTERNATIONAL
Pacific Coast Coal,Pacific Coast Coal Company
Muse & Assoc,MUSE & ASSOC
"City of Nogales, AZ",City of Nogales
Renewable Funding,"Renewable Funding, LLC"
Ag Consulting Group,AG CONSULTING GROUP
Baker & Hostetler,BAKER & HOSTETLER
Deerfield Triarc Capital Corp,DEERFIELD TRIARC CAPITAL CORP
DOTMLPFI Inc,"DOTMLPFI, Inc."
Deutsche Lufthansa,LUFTHANSA GERMAN AIRLINES
Canadian Standards Assn,"Canadian Standards Association, Operating as CSA Group"
"Magill, John",John Pierson Magill
Mauritius-US Business Assn,"MAURITIUS-U.S. BUSINESS ASSOCIATION, INC."
TE Connectivity,TYCO ELECTRONICS
Tyco Healthcare,TYCO HEALTHCARE
Tommy Hilfiger USA,TOMMY HILFIGER USA
Western Pistachio Assn,WESTERN PISTACHIO ASSN
FedBid Inc,FedBid Inc.
Coalition/Renewable Portfolio Standard,COALITION FOR A RENEWABLE PORTFOLIO STANDARD
University of Rochester,UNIV OF ROCHESTER
Bank One Corp,BANC ONE
TEPPCO Partners,TEXAS EASTERN PRODUCTS PIPELINE CO
Association of American Publishers,ASSN OF AMERICAN PUBLISHERS
Amway/Alticor Inc,Amway Corporation
Paccar Inc,PACCAR Inc
Rent-Way Inc,RENTWAY INC
Stetson University Law School,Stetson University College of Law
Ideal Innovations,IDEAL INNOVATIONS INC
Sinclair Broadcast Group,SINCLAIR BROADCASTING
Healthcare Institute of New Jersey,HealthCare Institute of New Jersey
Quinn Gillespie & Assoc,Quinn Gillespie & Associates
American Horticulture Industry Assn,American Nursery & Landscape Association
Outdoor Industry Assn,OUTDOOR INDUSTRY ASSOCIATION
Clearwave Inc,CLEARWAVE INC
Omega Group,The Omega Group
I-69 Mid-Continent Highway Coalition,I-69 MID-CONTINENT HIGHWAY COALITION
Msc Software,MSC SOFTWARE CORP
American Society of Interior Designers,AMERICAN SOCIETY OF INTERIOR DESIGNERS
National Assn of Social Workers,NATL ASSN OF SOCIAL WORKERS
Lindsay Hart LLP,"Lindsay, Hart, Neil & Weigler"
CJ Lake,"CJ Lake, LLC"
Reed Elsevier Inc,REED ELSEVIER
"City of Denton, TX",CITY OF DENTON
Hitachi America,HITACHI AMERICA LTD
Aeroflex Wichita,AEROFLEX WICHITA
Principal Financial Group,The Principal Financial Group
Sotheby's Holdings,Sotheby's
"Evans, Sheila","EVANS, SHEILA"
Cisco Systems,Cisco Systems Inc.
Malaysian Textile Manufacturers Assn,Malaysian Textile Manufactures Association
National Assn of Affordable Housing Lenders,"Republic Consulting, LLC obh National Association of Affordable Housing Lenders"
Pharmathene Inc,PHARMATHENE INC
Natl Sept 11th Memorial & Museum at WTC,National September 11 Memorial & Museum
Advantor Systems Corp,Advantor Systems Corporation
Unisource Worldwide,"UNISOURCE WORLDWIDE, INC"
St Mary's Residential Training School,St. Mary's Residential Training School
Trex Enterprises,TREX ENTERPRISES CORPORATION
Dow Chemical,DOW Chemical Company
White Mountain Forestry,WHITE MOUNTAIN FORESTRY CO
Southern Tier Cement Cmte,SPRINT NEXTEL CORP
Drax Group,Drax Group plc
Detroit Economic Growth Corp,DETROIT ECONOMIC GROWTH CORPORATION
Rent-A-Center,Rent A Center
American Assn of Law Libraries,AMERICAN ASSN OF LAW LIBRARIES
Glenmark Pharmaceuticals USA,GLENMARK PHARMACEUTICALS USA
Orthosensor Inc,OrthoSensor Inc.
Black Swan LLC,Black Swan LLC - Jochum Shore & Trossevin PC
JJF Management Services,"JJF Management Services, Inc."
JP Morgan Securities,"MORGAN SECURITIES, J.P."
Alenia Aermacchi North America,"Alenia Aermacchi North America, Inc."
Estee Lauder Companies,"The Estee Lauder Companies, Inc."
Southwire Co,"Southwire Company, LLC"
Fontbonne University,FONTBONNE UNIV
Hardwood Federation,HARDWOOD FEDERATION
Kessler Medical Rehab Research & Education,KESSLER MEDICAL REHABILITATION RESEARCH & EDUCATION CORP
US Chamber Institute for Legal Reform,UNITED STATES CHAMBER OF COMMERCE - INSTITUTE FOR LEGAL REFORM
"Camp, Dresser & McKee","Camp Dresser & McKee, Inc."
Coastal Impact Assistance & Reinvestment,COASTAL IMPACT ASSISTANCE & REINVESTMENT
BNG America,BRITISH NUCLEAR FUELS
TractManager,"TractManager, Inc."
ZL Technologies,"ZL Technologies, Inc."
Military Media,MILITARY MEDIA
Software Productivity Consortium,SYSTEMS AND SOFTWARE CONSORTIUM
MCX Environmental Energy,MCX ENVIRONMENTAL ENERGY CORP
Durante Assoc,DURANTE ASSOC
Medical Investor Holdings,Medical Investor Holdings LLC
Astria Sunnyside Hospital,Sunnyside Community Hospital
Arrowhead Regional Medical Center,ARROWHEAD REGIONAL MEDICAL CTR
Citizens for GMO Labeling,CITIZENS FOR GMA LABELING
McDonald Hopkins Government Strategies,"McDonald Hopkins Government Strategies, LLC"
CSX Transportation,CSX TRANSPORTATION
Coalition to Heal Invisible Wounds,COALITION TO HEAL INVISIBLE WOUNDS
Minnesota Transportation Alliance,MINNESOTA TRANSPORTATION ALLIANCE
Office of the Governor of Oregon,Oregon Governor's Office
"City of Harrogate, TN",CITY OF HARROGATE
California School Boards Assn,California School Boards Association
Seneca Resources,SENECA RESOURCES CORP
Miltec Corp,Miltec
National Down Syndrome Congress,NATIONAL DOWN SYNDROME CONGRESS
Tri-State Generation & Transmission Assn,"Tri-State Generation and Transmission Association, Inc."
Canadian Electricity Assn,CANADIAN ELECTRICITY ASSOCIATION
Operational Research Consultants,OPERATIONAL RESEARCH CONSULTANTS
Somerset Refinery Inc,"The Somerset Refinery, Inc."
Kirkpatrick & Lockhart,K&L GATES LLP
"Loughlin, Peter J",Mr. PETER LOUGHLIN
International Assn of Broadcast Monitors,INTL ASSN OF BROADCAST MONITORS
Primerica Financial Services,"Primerica Financial Services Home Mortgages, Inc."
Bruce Fennie & Assoc,BRUCE FENNIE & ASSOCIATES
Bruce Hock LLC,"Bruce Hock, LLC"
Engineering & Software Systems Solutions,"ENGINEERING AND SOFTWARE SYSTEMS SOLUTIONS, INC."
American Family Mutual Insurance,AMERICAN FAMILY INSURANCE GROUP
Quest Net Corp,QUEST NET CORP
Vought Aircraft Industries,"VOUGHT AIRCRAFT INDUSTRIES, INC"
Lumara Health,LUMARA HEALTH
Access Spectrum,"Access Spectrum, LLC"
Planned Parenthood/California,Planned Parenthood of California
Pattern Energy Group,Pattern Energy Group Inc.
"City of Laurel, MD",CITY OF LAUREL MARYLAND
"Port of Vancouver, WA",Port of Vancouver
Burbank Aeronautical,BURBANK AERONAUTICAL CORP II
Hesco Bastion USA,Hesco Military Products Ltd.
"Guerrero, Cynthia",Ms. Cynthia Guerrero
Forest City Land Group,FOREST CITY LAND GROUP
Pueblo of Laguna,PUEBLO OF LAGUNA
XLHealth Corp,XLHealth
InterDigital Inc,"Interdigital Administrative Solutions, Inc."
Arch Coal,ARCH COAL
NeoStem Inc,"NEOSTEM, INC."
Choice Hotels International,CHOICE HOTELS INTL
Illinois Hospital Assn,Illinois Hospital Association
"Blank, Rome et al",BLANK ROME LLP
Little Dixie Construction,LITTLE DIXIE CORPORATION
AJ Dwoskin & Assoc,"DWOSKIN & ASSOC, AJ"
Bridgestone/Firestone Inc,BRIDGESTONE AMERICAS HOLDING INC
Queen Emma Foundation,QUEEN EMMA LAND COMPANY
Vodafone Americas,VODAFONE AMERICAS
Midwest Fertilizer Corp,Midwest Fertilizer Corporation
NewSchools Venture Fund,NEW SCHOOLS VENTURE FUND
Century Aluminum,Century Alum
Dutch Wholesale Assn/Flwrblbs/Nurserystk,DUTCH WHOLESALE ASSOCIATION FOR FLOWERBULBS & NURSERYSTOCK ANTHOS
Pew Charitable Trusts,The Pew Charitable Trusts
AmeriHealth Caritas,AmeriHealth Mercy Health Plan
Coalition of Airline Pilots Assns,COALITION OF AIRLINE PILOTS ASSOCIATION
National Truck Equipment Assn,NATIONAL TRUCK EQUIPMENT ASSN
US Merchant Marine Academy Alumni Assn,"U.S. MERCHANT MARINE ACADEMY ALUMNI ASSOCIATION & FOUNDATION, INC."
American Corn Growers Assn,AMERICAN CORN GROWERS ASSOCIATION
SIG Sauer Inc,"SIG Sauer, Inc."
International Assn of Fire Fighters,International Association of Fire Fighters
"Campbell, John G","CAMPBELL, JOHN G."
2000 Taxi Corp,TAXI 2000 CORPORATION
Sound Transit,SOUND TRANSIT
Convenience Distribution Assn,AMERICAN WHOLESALE MARKETERS ASSOCIATION
American Sportfishing Assn,AMERICAN SPORTFISHING ASSOCIATION
Edwards Lifesciences,EDWARDS LIFESCIENCES LLC
NextEra Energy,Florida Power & Light Company
Family Violence Prevention Fund,FAMILY VIOLENCE PREVENTION FUND
Biofortis Inc,BIOFORTIS INC
Southern Cotton Growers Inc,SOUTHERN COTTON GROWERS INC
American Cruise Lines Cos PAC,American Cruise Lines Companies Political Action Committee
"City of Coffman Cove, AK","CITY OF COFFMAN COVE, AK"
Prince William Sound RCAC,Prince William Sound Regional Citizens' Advisory Council
Mystic Pharmaceuticals,"Mystic Pharmaceuticals, Inc."
New Flyer of America,NEW FLYER OF AMERICA INC
Pension Co,THE PENSION COMPANY
Otsuka Pharmaceutical Develop & Commercialization,"Otsuka Pharmaceutical Development & Commercialization, Inc."
Miasole,MIASOLE
New York University Child Study Center,NYU CHILD STUDY CENTER
Johns Hopkins Applied Physics Lab,JOHNS HOPKINS UNIV-APPLIED PHYSICS LABORATORY
Long Island University,LONG ISLAND UNIV
Derivatives Bridge LLC,"Derivatives Bridge, LLC"
Associated General Contractors,AGC OF AMERICA
Kerr-McGee Shared Services Co,KERR-MCGEE
Inmark Inc,"INMARK, INC"
Western States Petroleum Assn,WESTERN STATES PETROLEUM ASSN
Wake Forest Univ/Regenerative Medicine,WAKE FOREST UNIV INSTITUTE FOR REGENERATIVE MEDICINE
"Gencarelli, David F",Mr. DAVID GENCARELLI
National Multiple Sclerosis Society,NATIONAL MULTIPLE SCLEROSIS SOCIETY
Susquehanna University,SUSQUEHANNA UNIV
St Luke's Hospital & Health Network,St. Luke's Hospital & Health Network
EdisonLearning Inc,EDISON SCHOOLS
Louis Dreyfus Corp,"DREYFUS CORP, LOUIS"
LL Capital Partners,L L CAPITAL PARTNERS
Globe Composite Solutions,"Globe Composite Solutions, Ltd."
BNSF Railway,BURLINGTON NORTHERN SANTA FE RAILROAD
Aegis Group,AEGIS GROUP
VSA Arts,VSA ARTS
Virgin Valley Water District,VIRGIN VALLEY WATER DISTRICT
Burns & Roe Enterprises,BURNS & ROE INC
Real Estate Investment Securities Assn,REAL ESTATE INVESTMENT SECURITIES ASSN
Novelis,"NOVELIS, INC."
Electricity Storage Assn,Electricity Storage Association
Hold Brothers On-line Investments,HOLD BROTHERS ON-LINE INVESTMENTS INC
Adler School of Professional Psychology,The Adler School of Professional Pyschology
National Alliance For Worker & Employer Rights,NATL ALLIANCE FOR WORKER & EMPLOYER RIGHTS
Holy Cross Hospital,HOLY CROSS HOSPITAL
BAE Systems,BAE SYSTEMS PLATFORM SOLUTIONS
University of Minnesota,UNIV OF MINNESOTA
INEOS USA LLC,INEOS BIO
Church of Scientology International,CHURCH OF SCIENTOLOGY INTERNATIONAL
"Sutherland, Asbill & Brennan","Sutherland, Asbill & Brennan, LLP"
Orbit International,"Orbit International, Inc."
JB Management Inc,JB MANAGEMENT
MD MedicareChoice,"MD MedicareChoice, Inc."
MedNet Healthcare Technologies,"MEDNET HEALTHCARE TECHNOLOGIES, INC."
Colorado Preservating Inc,"Colorado Preservation, Inc."
Cardsystems Solutions Inc,"CARDSYSTEMS SOLUTIONS, INC."
Alterpoint Inc,"ALTERPOINT, INC"
International Platinum Group Metals Assn,International Platinum Group Metals Association
Supercom Inc,SUPERCOM INC
Fertitta Entertainment,"Fertitta Entertainment, LLC"
Great Lakes Maritime Task Force,GREAT LAKES MARITIME TASK FORCE
AREVA NC,AREVA-NC
Chlorine Chemistry Council,CHLORINE CHEMISTRY COUNCIL
Litton Systems,LITTON SYSTEMS
Wetlands Management,Wetlands Management LP
La Montana,LA MONTANA
University Health System,University Health Care System
National Accrediting Commission Career Arts & Sci,The National Accrediting Commission of Career Arts & Sciences
Orbis Online,ORBIS ONLINE
Lanxess Corp,LANXESS
Zimmer Inc,"ZIMMER, INC."
NAMM International Music Products Assn,NAMM: INTL MUSIC PRODUCTS ASSN
GAVI Fund,GAVI FUND
Alameda Corridor Transportation Auth,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY
"Smith, Dawson & Andrews",SMITH DAWSON & ANDREWS
VERA Institute of Justice,VERA INST OF JUSTICE
Alford & Assoc,ALFORD & ASSOCIATES
"City of Cordova, AK",CITY OF CORDOVA
Para Advisors,PARA ADVISORS
JohnsonDiversey Inc,JOHNSONDIVERSEY INC
Council of New Jersey Teaching Hospitals,New Jersey Council of Teaching Hospitals
US Rice Industry Coalition for Exports,U.S. RICE INDUSTRY COALITION FOR EXPORTS
Shell Oil,SHELL OIL COMPANY
University of Wisconsin/Milwaukee,University of Wisconsin- Milwaukee Foundation
"Andrews, Michael A",Mr. Michael A. Andrews
Aerojet Rocketdyne,Aerojet General Corporation
WGBH Educational Foundation,WGBH EDUCATIONAL FOUNDATION
Environmental Chemical Corp,ENVIRONMENTAL CHEMICAL CORP
Russian Ferro-Alloys Inc,"Russian Ferro-Alloys, Inc."
Hearst-Argyle Television,"Hearst-Argyle Television, Inc."
State of North Carolina,STATE OF NORTH CAROLINA
Renal Physicians Assn,Renal Physicians Association
Northwest Airlines,"NORTHWEST AIRLINES, INC"
Allvivo Inc,ALLVIVO INC
Powell Goldstein LLP,POWELL GOLDSTEIN FRAZER & MURPHY
Disability Rights Educ & Defense Fund,DISABILITY RIGHTS EDUCATION & DEFENSE FUND
Manzano Strategies,"Manzano Strategies, LLC, Business Development Unit"
Alabama Institute for the Deaf & Blind,ALABAMA INSTITUTE FOR THE DEAF & BLIND
Capitol Connections,"Capitol Connections, LLC"
Alaska Power & Telephone,Alaska Power and Telephone Company
Children's Hospital & Medical Center,CHILDRENS HOSPITAL & MEDICAL CENTER
Integrated Concepts & Research Corp,INTEGRATED CONCEPTS AND RESEARCH CORPORATION
Westerly Group,WESTERLY GROUP
Cavalry Group LLC,The Cavalry Group LLC
Baron & Budd,Barron & Budd
Indigo,INDIGO
Pinellas Suncoast Transit Authority,PINELLAS SUNCOAST TRANSIT AUTHORITY
Owner-Operator Independent Drivers Assn,OWNER-OPERATORS INDEPENDENT DRIVERS ASSOCIATION
Flight Safety International,FLIGHT SAFETY INTL
West Coast Seafood Processors Assn,WEST COAST SEAFOOD PROCESSORS ASSN
Vegas X Train,X Train Las Vegas
Respublica Group,RESPUBLICA GROUP
Grand Hotel Co,GRAND HOTEL COMPANY
Tichenor & Assoc,TICHENOR & ASSOCIATES LLP
Zero Stage Capital,ZEROSTAGE
"Pollard, Michael",Mr. MICHAEL POLLARD
National Safe Place,NATL SAFE PLACE - YMCA
Robert A Rapoza Assoc,R A RAPOZA ASSOCIATES INC
Fedn of Electric Power Cos of Japan,FEDERATION OF ELECTRIC COMPANY OF JAPAN
Indotel,INDOTEL
RG Flippo & Assoc,"R.G. FLIPPO AND ASSOCIATES, INC"
Africa Committee Inc,AFRICA COMMITTEE INC
Sergeants Benevolent Assn,SERGEANTS BENEVOLENT ASSN
Medica Healthcare Plans,Medica
nLight Corp,nLIGHT Corporation
American Trucking Assns,American Trucking Associations
National Propane,NATL PROPANE CORP
"Shook, Hardy & Bacon","Shook, Hardy & Bacon, LLP"
American Maritime International,AMERICAN MARITIME INTL
Silverline Communications,"GAIA Group Public Relations, LLC"
"Kilbourne, Kym",Kym H. Kilbourne
Northrop Grumman,NORTHROP GRUMMAN IT
MG Financial Group,MG FINANCIAL GROUP
SC Johnson & Son,S C JOHNSON & SON
Riverside-San Bernadino Ind Health Brd,Riverside-San Bernadino County Indian Health Board
BNSF Railway,BNSF RAILWAY COMPANY
Lyondell Chemical,LYONDELL CHEMICAL COMPANY
MITA Group,"The MITA Group, Inc."
"Saltzman, Joel","SALTZMAN, JOEL"
Stephen Defelice MD/SDF Consultants,STEPHEN DEFELICE MD-SDF CONSULTANTS
National Cltn/Osteoporosis Related Bone Diseases,NATL COALITION FOR OSTEOPOROSIS & RELATED BONE DISEASE
Water Research Foundation,WATER RESEARCH FOUNDATION
Buckley Kolar,BUCKLEY KOLAR LLP
Rotech Healthcare,"Rotech Healthcare, Inc."
Schering-Plough Corp,SCHERING-PLOUGH CORP
Squaw Valley Ski Resort,Squaw Valley
HemCon Medical Technologies,HEMCON MEDICAL TECHNOLOGIES INC
Optomec Inc,OPTOMEC
Amoco Corp,AMOCO CORP
Executive Jet Aviation,EXECUTIVE JET AVIATION
"Wachtell, Lipton et al",WACHTELL LIPTON ROSEN & KATZ
Carbon Nanotechnologies Inc,CARBON NANOTECHNOLOGY
Global Holding Group Inc,GLOBAL HOLDING GROUP INC
Ball State University,BALL STATE UNIV
Games Inc,GAMES INC
Townsend Public Affairs/Antioch,TOWNSEND PUBLIC AFFAIRS
Kuitwaard & Assoc,KUITWAARD & ASSOC
Communities in Schools Inc,COMMUNITIES IN SCHOOLS INC
Injured Workers Pharmacy,INJURED WORKERS PHARMACY
CGI Federal,CGI Federal Inc.
"Sams, Letha et al","SAMS, LETHA"
Alaska Native Technologies,ALASKA NATIVE TECHNOLOGIES INC
American Federation of Teachers,AMERICAN FEDERATION OF TEACHERS
Federal Strategies Group,"FEDERAL STRATEGIES GROUP, INC"
Tritel Communications,"TRITEL COMMUNICATIONS, INC."
Fifth & Columbia Investors,"Fifth and Columbia Investors, LLC"
Nuix North America,"Nuix North America, Inc."
"Pearson, Mary Scott","PEARSON, MARY SCOTT"
Bethany Medical Center,BETHANY MEDICAL CENTER
National Minority Medical Suppliers Assn,NATL MINORITY MEDICAL SUPPLIERS ASSN
Senior Health,SENIOR HEALTH
TOTAL FINA ELF,TOTAL SA
Kansas Pipeline Operating,KANSAS PIPE LINE OPERATING CO
CONSOL Energy,"CONSOL ENERGY, INC"
Illinois Farm Bureau,Illinois Agricultural Association
"Wu, David","WU, DAVID"
CA,VENABLE GROUP FOR CA
Blue Cross/Blue Shield of Alabama,Blue Cross and Blue Shield of Alabama
Cambrex Bio Science Baltimore,CAMBREX BIO SCIENCE BALTIMORE
"Fletcher, Heald & Hildreth","Fletcher, Heald & Hildreth, P.L.C."
WL Gore & Assoc,WL GORE & ASSOCIATES
Parents Anonymous,Parents Anonymous Inc
Radio-Television News Directors Assn,RADIO-TELEVISION NEWS DIRECTORS ASSOCIATION
Seafarers Intl Union/Atlantic District,SEAFARERS INTL UNION
Obesity Society,The Obesity Society
"Village of Oak Park, IL",VILLAGE OF OAK PARK
Univ of Hawaii School of Ocean/Earth Sci,UNIV OF HAWAII SCHOOL OF OCEAN & EARTH SCIEN
National Legal Aid Defender Assn,NATIONAL LEGAL AID AND DEFENDER ASSN
Reproductive Health Technologies Project,REPRODUCTIVE HEALTH TECHNOLOGIES REPORT
"Rothman, Tom",Tom Rothman
Biodesix,"Biodesix, Inc."
Viacom Inc,VIACOM INC 1005611
United Fresh Fruit & Vegetable Assn,UNITED FRESH PRODUCE ASSN
Delta Assn of Rural Initatives,Delta Association of Rural Initiatives
LG Electronics USA,"LG Electronics USA, Inc."
American Assn of Community Colleges,AMERICAN ASSOCIATION OF COMMUNITY COLLEGES
Sasol Chemicals USA,SASOL NORTH AMERICA INC
Evergreen Partners,Evergreen Partners LLC
Little Caesar Enterprises,Little Caesars
Northern Arapaho Indian Tribe,NORTHERN ARAPAHO INDIAN TRIBE
Pareto Energy,PARETO ENERGY LTD
Mass Fdtn/Excellence in Marine/Polymer,MASSACHUSETTS FOUNDATION FOR EXCELLENCE IN MARINE & POLYMER SCIENCE
"City of Ontario, CA",CITY OF ONTARIO CA
"Belem, Gary","BELEM, GARY"
Camara Nacl Indust Pesquere y Acuacul,CAMARA NACIONAL - INDUSTRIAS PESQUERA Y ACUALCULTURA
Santa Fe Natural Tobacco,SANTA FE NATURAL TOBACCO COMPANY
Natl Council Of Soc Sec Management Assn,NATL COUNCIL OF SOC SEC MANAGEMENT ASSN
VMOD Fiber,"VMOD Fiber, LLC"
NanoPierce Technologies Inc,NANOPIERCE TECHNOLOGIES INC
"City of Livermore, CA",City of Livermore
Healthcare Alliance Inc,"HEALTHCARE ALLIANCE, INC."
Cybertran New York,CYBERTRAN NEW YORK LLC
El Paso Energy,EL PASO ENERGY INTL
"Village of Barrington, IL","Village of Barrington, Illinois"
Tohoku Electric Power,TOHOKU ELECTRIC POWER CO
Asia Pacific Council/Am Chamber/Commerce,Asia Pacific Council of American Chambers of Commerce
Nilit Ltd Textile Center,NILIT LTD TEXTILE CENTER
TransUnion LLC,TRANS UNION LLC
Green Bay Packaging,"GREEN BAY PACKAGING, INC."
"Delaney, Glenn Roger","DELANEY, GLENN ROGER"
Private Equity 754 Coalition,PRIVATE EQUITY 754 COALITION
Sierra Club,SIERRA CLUB
"Balto, David",Mr. David Balto
Dillingham Construction Holdings,DILLINGHAM CONSTRUCTION CO
Mescalero Apache Telecom,"Mescalero Apache Telecom, Inc."
Paul J Cooper Center for Human Services,"COOPER CENTER FOR HUMAN SERVICES, PAUL J"
Gmh Assoc,GMH ASSOC
Healthy Directions,"HEALTHY DIRECTIONS, LLC"
Ashland Inc,ASHLAND
"City of Arcadia, CA","ARCADIA-CA, CITY OF"
Sitilides Group,SITILIDES GROUP
Dvbeam Services Co,DVBEAM SERVICES CO
Constellation Energy,"Constellation Energy Group, Inc"
Fuelman Group,FUELMAN GROUP
Reform Institute,REFORM INSTITUTE
Mego Financial,MEGO FINANCIAL CORP
Sabre Holdings,"SABRE, INC."
"Boucher, Donald M","BOUCHER, DONALD M."
Gulfsands Petroleum,Gulfsands Petroleum Ltd.
Vital Learning,VITAL LEARNING CORP
United Student Aid Funds,"United Student Aid Funds, Inc."
Genocide Intervention Network,GENOCIDE INTERVENTION NETWORK
Laser Energetics Inc,LASER ENERGETICS INC
National Retirees Legislative Network,The National Retiree Legislative Network
Boiron USA,Boiron USA Inc.
"Brodbeck, Josh",Josh Brodbeck
American Public Communications Council,AMERICAN PUBLIC COMMUNICATIONS COUNCIL
Friends/Global Fight Against AIDS/TB/Mal,"Friends of the Global Fight Against AIDS, Tuberculosis and Malaria"
"Boyd, Moses",Moses Boyd
Major Cities Chiefs,MAJOR CITIES CHIEFS
"Schwartz, Mark","SCHWARTZ, MARK"
Simula Inc,"SIMULA, INC"
National Board for Prof Teaching Stndrds,NATIONAL BOARD FOR PROFESSIONAL TEACHING STANDARDS
"Valanzano, Anthony",Anthony Valanzano
Hudson Cook,"Hudson Cook, LLP"
Pernix Therapeutics,"Pernix Therapeutics Holdings, LLC"
AmeriDream Inc,AMERIDREAM INC
"City of Mountlake Terrace, WA",City of Mountlake Terrace
EOP Group,"EOP Group, Inc"
Genworth Financial,Genworth Financial Corp.
Specialty Equipment Market Assn,SPECIALTY EQUIPMENT MARKET ASSN
Intel Corp,Intel
Syracuse Research Corp,SYRACUSE RESEARCH CORP.
Inter Detect,INTER DETECT
American Assn for Homecare,American Association of Homecare
National Assn of Postmasters,NATIONAL ASSOCIATION OF POSTMASTERS OF THE UNITED STATES
Shaw & Assoc,SHAW & ASSOCIATES
Sunrise Health Care,SUNRISE HEALTH CARE
Northwest Airlines,NORTHWEST AIRLINES INC
Timken Co,TIMKEN US CORP
Foundation Inspiration/Recognition of Sci & Tech,Foundation for Inspiration & Recognition of Science & Technology
Blue Cross/Blue Shield of Florida,Blue Cross Blue Shield of Florida
Goodwill Industries/Columbia Willamet,GOODWILL INDUSTRIES OF COLUMBIA WILLAMETTE INC
Mary Jo Hoeksema-Robinson,Mary Jo Hoeksema Robinson
"Hamilton, Gullett et al",HAMILTON GULLETT DAVIS & ROMAN
Specialty Merchandise Corp,Specialty Merchandise Corporation
Voya Financial,ING North America Insurance Corporation
Sony Electronics,SONY ELECTRONICS INC
Meyer & Assoc,MEYERS & ASSOC
American-Australian Free Trade Agmt Cltn,AMERICAN-AUSTRALIAN FREE TRADE AGREEMENT COALITION
Tecumseh Products,TECUMSEH PRODUCTS CO
Hayes Lemmerz International,"Hayes Lemmerz International, Inc."
C&M Capitolink,CAPITOLINK
Pakarab Fertilizers,Pakarab Fertilizers Limited
Aurora Economic Development Council,ACCELERATE COLORADO
Software Publishers Assn,SOFTWARE PUBLISHERS ASSN
Secure Crew Coalition,SECURE CREW COALITION
TrizecHahn,TRIZECHAHN
Minnesota State Coll & Univ System,MINNESOTA STATE COLLEGES & UNIVERSITIES SYSTEM
"Brock, William E","BROCK, WILLIAM E"
Jaka Consulting,Jaka Consulting Group
National Assn of Truck Stop Operators,NATSO INC
Independent Pilots Assn,Independent Pilots Association
Cleveland HeartLab,"Cleveland HeartLabs, Inc."
Vanadium Producers & Reclaimers Assn,VANADIUM PRODUCERS AND RECLAIMERS ASSOCIATION
Sumitomo Rubber Industries,"Sumitomo Rubber Industries, Ltd."
"City of Excelsior Springs, MO",CITY OF EXCELSIOR SPRINGS
Biochemics,BIOCHEMICS
Bryant Christie Inc,BRYANT CHRISTIE INC
Fosun Industrial Holdings Ltd,Fosun Industrial Holdings Limited
Carpenters & Joiners Union,UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA
Mid-Atlantic Medical Services,MID-ATLANTIC MEDICAL SERVICES
Kognito Solutions,"Kognito Solutions, LLC"
Alpha-1 Foundation,ALPHA ONE FOUNDATION
Student Loan Marketing Assn,STUDENT LOAN MARKETING ASSOCIATION
Association of Woodworking & Furnishing Suppliers,Association of Woodworking and Furnishing Suppliers
Institutional Limited Partners Assn,INSTITUTIONAL LIMITED PARTNERS ASSOCIATION
SourceAmerica,NISH
"Village of Deer Park, IL","Village of Deer Park, Illinois"
Great Projects Inc,GREAT PROJECTS INC
Utah Associated Municipal Power Systems,UTAH ASSOCIATED MUNICIPAL POWER SYSTEMS
Non-Bank Funds Transmitters Group,NON BANK FUNDS TRANSMITTERS GROUP
Navajo Nation Public Safety Committee,The Navajo Nation Public Safety Committee
